ann_sharpe,max_dd,total_ret,n_days,variant,thr,exit,n_episodes,avg_n_pos
0.209,-0.2893,0.0368,452,V1_uniform_50pct,3,both,4692,39.3783185840708
0.397,-0.251,0.1325,452,V4_conf_8f,3,both,4692,39.3783185840708
0.28,-0.302,0.0724,452,V6_conf_2f,3,both,4692,39.3783185840708
0.28,-0.302,0.0724,452,V6b_nocap_2f,3,both,4692,39.3783185840708
0.28,-0.3016,0.0723,452,V6b_cap15_2f,3,both,4692,39.3783185840708
0.28,-0.302,0.0724,452,V6b_flo20_2f,3,both,4692,39.3783185840708
