component,n,mean_alpha,win_rate,t,p
entry_to_last_lit_day (v3.1 literal hold),3243,0.0007,0.278,0.84,0.4006
mid-run continuation (day1+ .. last lit day),1917,0.0012,0.32,0.97,0.3306
