n,obs_delta_sw_vs_eq,ci_lo_2.5,ci_hi_97.5,pct_gt_0,variant
3243,0.0,0.0,0.0,0.0,V1_uniform_50pct
3243,0.00028,-0.00076,0.00125,0.707,V4_conf_8f
3243,-7e-05,-0.00031,0.00017,0.288,V6_conf_2f
3243,-7e-05,-0.00031,0.00017,0.288,V6b_nocap_2f
3243,-7e-05,-0.00031,0.00017,0.285,V6b_cap15_2f
3243,-7e-05,-0.00031,0.00017,0.288,V6b_flo20_2f
