version,period,n,mean,p50,p75,p90,p99,max,thr1,thr2,stage1_days,stage2_days
V_A_当前声明,all,89845,0.795,1.0,2.0,3.0,4.0,6.0,13.0,8.4,0,0
V_A_当前声明,2025,48349,0.821,1.0,2.0,3.0,4.0,6.0,13.0,8.4,0,0
V_A_当前声明,2026,29458,0.762,1.0,2.0,2.0,4.0,5.0,13.0,8.4,0,0
V_B_近似4事件,all,89845,0.795,1.0,2.0,3.0,4.0,7.0,10.4,6.72,0,1
V_B_近似4事件,2025,48349,0.821,1.0,2.0,3.0,4.0,6.0,10.4,6.72,0,0
V_B_近似4事件,2026,29458,0.763,1.0,2.0,2.0,4.0,7.0,10.4,6.72,0,1
