period,v21_sharpe_TC_off,note
2010-2014,0.506,early A-share (post-GFC recovery)
2015-2018,0.798,牛熊切换 + 蓝筹轮动 — V21 still positive
2019-2021,1.202,V21 strongest phase (small-cap rally)
2022-2025,1.296,"recent, highly robust"
2026 (1-6m),0.539,observation only (6 months)
IS 2010-2017,0.665,in-sample cutoff
OOS 2018-2026,1.076,out-of-sample (OOS > IS is robust)
