date,close,code
2021-12-13,8179.52,801980
2021-12-14,8112.6,801980
2021-12-15,7993.47,801980
2021-12-16,8060.25,801980
2021-12-17,7840.27,801980
2021-12-20,7698.44,801980
2021-12-21,7812.18,801980
2021-12-22,7822.9,801980
2021-12-23,7744.14,801980
2021-12-24,7713.71,801980
2021-12-27,7680.2,801980
2021-12-28,7697.2,801980
2021-12-29,7639.73,801980
2021-12-30,7684.98,801980
2021-12-31,7668.61,801980
2022-01-04,7648.91,801980
2022-01-05,7585.89,801980
2022-01-06,7399.01,801980
2022-01-07,7253.74,801980
2022-01-10,7379.9,801980
2022-01-11,7349.3,801980
2022-01-12,7431.07,801980
2022-01-13,7264.61,801980
2022-01-14,7255.79,801980
2022-01-17,7267.05,801980
2022-01-18,7233.28,801980
2022-01-19,7150.28,801980
2022-01-20,7038.41,801980
2022-01-21,6973.08,801980
2022-01-24,6961.89,801980
2022-01-25,6764.84,801980
2022-01-26,6790.83,801980
2022-01-27,6663.09,801980
2022-01-28,6587.9,801980
2022-02-07,6711.31,801980
2022-02-08,6763.26,801980
2022-02-09,6803.84,801980
2022-02-10,6686.19,801980
2022-02-11,6490.51,801980
2022-02-14,6485.14,801980
2022-02-15,6713.82,801980
2022-02-16,6780.93,801980
2022-02-17,6756.53,801980
2022-02-18,6773.34,801980
2022-02-21,6815.49,801980
2022-02-22,6717.42,801980
2022-02-23,6867.4,801980
2022-02-24,6675.62,801980
2022-02-25,6846.65,801980
2022-02-28,6870.28,801980
2022-03-01,6863.0,801980
2022-03-02,6856.8,801980
2022-03-04,6786.48,801980
2022-03-07,6713.06,801980
2022-03-08,6503.74,801980
2022-03-09,6456.41,801980
2022-03-10,6563.53,801980
2022-03-11,6513.34,801980
2022-03-14,6253.21,801980
2022-03-15,5920.25,801980
2022-03-16,6067.02,801980
2022-03-17,6282.86,801980
2022-03-18,6323.45,801980
2022-03-21,6354.98,801980
2022-03-22,6276.98,801980
2022-03-24,6502.84,801980
2022-03-25,6422.87,801980
2022-03-28,6359.3,801980
2022-03-29,6327.19,801980
2022-03-30,6606.08,801980
2022-04-01,6646.14,801980
2022-04-06,6607.95,801980
2022-04-07,6475.21,801980
2022-04-08,6412.1,801980
2022-04-11,6276.53,801980
2022-04-12,6555.98,801980
2022-04-13,6467.83,801980
2022-04-15,6512.76,801980
2022-04-18,6492.36,801980
2022-04-19,6358.66,801980
2022-04-20,6407.25,801980
2022-04-21,6395.85,801980
2022-04-22,6455.8,801980
2022-04-25,6067.0,801980
2022-04-26,6232.93,801980
2022-04-27,6358.36,801980
2022-04-28,6260.08,801980
2022-04-29,6459.83,801980
2022-05-06,6188.0,801980
2022-05-10,6203.2,801980
2022-05-11,6281.39,801980
2022-05-12,6274.48,801980
2022-05-13,6252.53,801980
2022-05-16,6329.03,801980
2022-05-17,6339.06,801980
2022-05-18,6260.43,801980
2022-05-19,6238.51,801980
2022-05-20,6460.96,801980
2022-05-23,6468.15,801980
2022-05-24,6226.78,801980
2022-05-25,6271.42,801980
2022-05-26,6323.13,801980
2022-05-27,6398.6,801980
2022-05-30,6529.66,801980
2022-05-31,6810.17,801980
2022-06-01,6743.23,801980
2022-06-02,6751.76,801980
