date,mid
2014-01-01,6.096900000000001
2014-01-02,6.099
2014-01-03,6.103899999999999
2014-01-04,6.103899999999999
2014-01-05,6.103899999999999
2014-01-06,6.1059
2014-01-07,6.1042
2014-01-08,6.1079
2014-01-09,6.1109
2014-01-10,6.1008000000000004
2014-01-11,6.1008000000000004
2014-01-12,6.1008000000000004
2014-01-13,6.095
2014-01-14,6.093
2014-01-15,6.100499999999999
2014-01-16,6.1065
2014-01-17,6.1041
2014-01-20,6.108300000000001
2014-01-21,6.106599999999999
2014-01-22,6.1087
2014-01-23,6.1107000000000005
2014-01-24,6.1035
2014-01-25,6.1035
2014-01-26,6.1035
2014-01-27,6.1022
2014-01-28,6.1053
2014-01-29,6.1073
2014-01-30,6.105
2014-02-07,6.1089
2014-02-08,6.1089
2014-02-09,6.1089
2014-02-10,6.108300000000001
2014-02-11,6.1069
2014-02-12,6.1078
2014-02-13,6.11
2014-02-14,6.107
2014-02-15,6.107
2014-02-16,6.107
2014-02-17,6.1053
2014-02-18,6.1073
2014-02-19,6.1103
2014-02-20,6.1146
2014-02-21,6.1175999999999995
2014-02-22,6.1175999999999995
2014-02-23,6.1175999999999995
2014-02-24,6.1189
2014-02-25,6.1184
2014-02-26,6.119199999999999
2014-02-27,6.1224
2014-02-28,6.1213999999999995
2014-03-01,6.1213999999999995
2014-03-02,6.1213999999999995
2014-03-03,6.119
2014-03-04,6.1236
2014-03-05,6.1257
2014-03-06,6.1249
2014-03-07,6.1201
2014-03-08,6.1201
2014-03-09,6.1201
2014-03-10,6.1312
2014-03-11,6.1327
2014-03-12,6.1343
2014-03-13,6.132000000000001
2014-03-14,6.134600000000001
2014-03-15,6.134600000000001
2014-03-16,6.134600000000001
2014-03-17,6.1321
2014-03-18,6.1341
2014-03-19,6.1350999999999996
2014-03-20,6.146
2014-03-21,6.1475
2014-03-22,6.1475
2014-03-23,6.1475
2014-03-24,6.1452
2014-03-25,6.1426
2014-03-26,6.144
2014-03-27,6.1465
2014-03-28,6.149
2014-03-29,6.149
2014-03-30,6.149
2014-03-31,6.152100000000001
2014-04-01,6.1503
2014-04-02,6.149299999999999
2014-04-03,6.152
2014-04-04,6.1557
2014-04-05,6.1557
2014-04-06,6.1557
2014-04-07,6.1557
2014-04-08,6.152699999999999
2014-04-09,6.149
2014-04-10,6.151
2014-04-11,6.149500000000001
2014-04-12,6.149500000000001
2014-04-13,6.149500000000001
2014-04-14,6.153099999999999
2014-04-15,6.157100000000001
2014-04-16,6.1589
2014-04-17,6.1575
2014-04-18,6.1586
2014-04-19,6.1586
2014-04-20,6.1586
2014-04-21,6.1591
2014-04-22,6.1610000000000005
2014-04-23,6.1599
2014-04-24,6.1589
2014-04-25,6.1575999999999995
2014-04-26,6.1575999999999995
2014-04-27,6.1575999999999995
2014-04-28,6.156499999999999
2014-04-29,6.1556
2014-04-30,6.1579999999999995
2014-05-01,6.1579999999999995
2014-05-02,6.1579999999999995
2014-05-03,6.1579999999999995
2014-05-04,6.1579999999999995
2014-05-05,6.156000000000001
2014-05-06,6.156499999999999
2014-05-07,6.1541999999999994
2014-05-08,6.1557
2014-05-09,6.158099999999999
2014-05-10,6.158099999999999
2014-05-11,6.158099999999999
2014-05-12,6.1625
2014-05-13,6.1636
2014-05-14,6.165299999999999
2014-05-15,6.164
2014-05-16,6.1628
2014-05-17,6.1628
2014-05-18,6.1628
2014-05-19,6.1636
2014-05-20,6.1626
2014-05-21,6.1645
2014-05-22,6.165800000000001
2014-05-23,6.168099999999999
2014-05-24,6.168099999999999
2014-05-25,6.168099999999999
2014-05-26,6.1699
2014-05-27,6.1687
2014-05-28,6.1694
2014-05-29,6.1705
2014-05-30,6.1695
2014-05-31,6.1695
2014-06-01,6.1695
2014-06-02,6.1695
2014-06-03,6.171
2014-06-04,6.1693
2014-06-05,6.170800000000001
2014-06-06,6.1623
2014-06-07,6.1623
2014-06-08,6.1623
2014-06-09,6.1485
2014-06-10,6.1451
2014-06-11,6.1506
2014-06-12,6.151599999999999
2014-06-13,6.1503
2014-06-14,6.1503
2014-06-15,6.1503
2014-06-16,6.1537
2014-06-17,6.1529
2014-06-18,6.1559
2014-06-19,6.153099999999999
2014-06-20,6.1524
2014-06-21,6.1524
2014-06-22,6.1524
2014-06-23,6.1557
2014-06-24,6.1545000000000005
2014-06-25,6.1555
2014-06-26,6.1538
2014-06-27,6.154299999999999
2014-06-28,6.154299999999999
2014-06-29,6.154299999999999
2014-06-30,6.1528
2014-07-01,6.1523
2014-07-02,6.1549000000000005
2014-07-03,6.158099999999999
2014-07-04,6.164199999999999
2014-07-05,6.164199999999999
2014-07-06,6.164199999999999
2014-07-07,6.165800000000001
2014-07-08,6.1626
2014-07-09,6.156499999999999
2014-07-10,6.144299999999999
2014-07-11,6.1469000000000005
2014-07-12,6.1469000000000005
2014-07-13,6.1469000000000005
2014-07-14,6.1485
2014-07-15,6.149
2014-07-16,6.1535
2014-07-17,6.1564
2014-07-18,6.1568
2014-07-19,6.1568
2014-07-20,6.1568
2014-07-21,6.1547
2014-07-22,6.154400000000001
2014-07-23,6.1572000000000005
2014-07-24,6.1579
2014-07-25,6.1597
2014-07-26,6.1597
2014-07-27,6.1597
2014-07-28,6.1622
2014-07-29,6.1615
2014-07-30,6.1645
2014-07-31,6.1675
2014-08-01,6.168099999999999
2014-08-02,6.168099999999999
2014-08-03,6.168099999999999
2014-08-04,6.1661
2014-08-05,6.1655
2014-08-06,6.168099999999999
2014-08-07,6.167000000000001
2014-08-08,6.1562
2014-08-09,6.1562
2014-08-10,6.1562
2014-08-11,6.152200000000001
2014-08-12,6.1517
2014-08-13,6.153300000000001
2014-08-14,6.1545000000000005
2014-08-15,6.1538
2014-08-16,6.1538
2014-08-17,6.1538
2014-08-18,6.1528
2014-08-19,6.1548
2014-08-20,6.1579999999999995
2014-08-21,6.163200000000001
2014-08-22,6.1617
2014-08-23,6.1617
2014-08-24,6.1617
2014-08-25,6.165299999999999
2014-08-26,6.1663
2014-08-27,6.165800000000001
2014-08-28,6.1638
2014-08-29,6.1647
2014-08-30,6.1647
2014-08-31,6.1647
2014-09-01,6.167999999999999
2014-09-02,6.1684
2014-09-03,6.169700000000001
2014-09-04,6.1666
2014-09-05,6.1707
2014-09-06,6.1707
2014-09-07,6.1707
2014-09-08,6.1707
2014-09-09,6.152
2014-09-10,6.1425
2014-09-11,6.1453
2014-09-12,6.1468
2014-09-13,6.1468
2014-09-14,6.1468
2014-09-15,6.1452
2014-09-16,6.1462
2014-09-17,6.145
2014-09-18,6.149
2014-09-19,6.145499999999999
2014-09-20,6.145499999999999
2014-09-22,6.1485
2014-09-23,6.147
2014-09-24,6.1462
2014-09-25,6.1497
2014-09-26,6.1508
2014-09-27,6.1508
2014-09-28,6.1508
2014-09-29,6.1539
2014-09-30,6.1525
2014-10-01,6.1525
2014-10-02,6.1525
2014-10-03,6.1525
2014-10-04,6.1525
2014-10-05,6.1525
2014-10-06,6.1525
2014-10-07,6.1525
2014-10-08,6.149299999999999
2014-10-09,6.146100000000001
2014-10-10,6.147
2014-10-11,6.147
2014-10-12,6.147
2014-10-13,6.1446000000000005
2014-10-14,6.1408000000000005
2014-10-15,6.145499999999999
2014-10-16,6.139500000000001
2014-10-17,6.140700000000001
2014-10-18,6.140700000000001
2014-10-19,6.140700000000001
2014-10-20,6.1435
2014-10-21,6.141
2014-10-22,6.1437
2014-10-23,6.1459
2014-10-24,6.146699999999999
2014-10-25,6.146699999999999
2014-10-26,6.146699999999999
2014-10-27,6.1446000000000005
2014-10-28,6.1421
2014-10-29,6.140499999999999
2014-10-30,6.145700000000001
2014-10-31,6.146100000000001
2014-11-01,6.146100000000001
2014-11-02,6.146100000000001
2014-11-03,6.1525
2014-11-04,6.154299999999999
2014-11-05,6.1503
2014-11-06,6.156499999999999
2014-11-07,6.1602
2014-11-08,6.1602
2014-11-09,6.1602
2014-11-10,6.1377
2014-11-11,6.1413
2014-11-12,6.142799999999999
2014-11-13,6.1418
2014-11-14,6.1399
2014-11-15,6.1399
2014-11-16,6.1399
2014-11-17,6.1409
2014-11-18,6.143
2014-11-19,6.1397
2014-11-20,6.141699999999999
2014-11-21,6.1387
2014-11-22,6.1387
2014-11-23,6.1387
2014-11-24,6.142
2014-11-25,6.138999999999999
2014-11-26,6.1354
2014-11-27,6.132000000000001
2014-11-28,6.1345
2014-11-29,6.1345
2014-11-30,6.1345
2014-12-01,6.136900000000001
2014-12-02,6.1325
2014-12-03,6.1376
2014-12-04,6.1411
2014-12-05,6.1373
2014-12-06,6.1373
2014-12-07,6.1373
2014-12-08,6.1282000000000005
2014-12-09,6.123099999999999
2014-12-10,6.1195
2014-12-11,6.1152999999999995
2014-12-12,6.1184
2014-12-13,6.1184
2014-12-14,6.1184
2014-12-15,6.1152
2014-12-16,6.118200000000001
2014-12-17,6.1137
2014-12-18,6.1195
2014-12-19,6.1205
2014-12-20,6.1205
2014-12-21,6.1205
2014-12-22,6.122000000000001
2014-12-23,6.122999999999999
2014-12-24,6.124700000000001
2014-12-25,6.1213
2014-12-26,6.1186
2014-12-27,6.1186
2014-12-28,6.1186
2015-01-29,6.133500000000001
2015-01-30,6.1370000000000005
2015-01-31,6.1370000000000005
2015-02-01,6.1370000000000005
2015-02-02,6.1385000000000005
2015-02-03,6.136900000000001
2015-02-04,6.131799999999999
2015-02-05,6.1366
2015-02-06,6.1261
2015-02-09,6.1311
2015-02-10,6.1295
2015-02-11,6.1315
2015-02-12,6.1333
2015-02-13,6.1288
2015-02-14,6.1288
2015-02-15,6.1288
2015-02-16,6.1273
2015-02-17,6.132999999999999
2015-02-18,6.132999999999999
2015-02-19,6.132999999999999
2015-02-20,6.132999999999999
2015-02-21,6.132999999999999
2015-02-22,6.132999999999999
2015-02-23,6.132999999999999
2015-02-24,6.132999999999999
2015-02-25,6.138400000000001
2015-02-26,6.137899999999999
2015-02-27,6.1475
2015-02-28,6.1475
2015-03-01,6.1475
2015-03-02,6.1513
2015-03-03,6.154299999999999
2015-03-04,6.1525
2015-03-05,6.1528
2015-03-06,6.153300000000001
2015-03-07,6.153300000000001
2015-03-08,6.153300000000001
2015-03-09,6.1563
2015-03-10,6.1572000000000005
2015-03-11,6.1597
2015-03-12,6.1617
2015-03-13,6.1588
2015-03-14,6.1588
2015-03-15,6.1588
2015-03-16,6.1615
2015-03-17,6.1585
2015-03-18,6.1556
2015-03-19,6.146
2015-03-20,6.1496
2015-03-21,6.1496
2015-03-22,6.1496
2015-03-23,6.1448
2015-03-24,6.1398
2015-03-25,6.141
2015-03-26,6.1375
2015-03-27,6.1397
2015-03-28,6.1397
2015-03-29,6.1397
2015-03-30,6.1402
2015-03-31,6.1422
2015-04-01,6.143400000000001
2015-04-02,6.139600000000001
2015-04-03,6.1348
2015-04-05,6.1348
2015-04-06,6.1348
2015-04-07,6.1305
2015-04-08,6.1345
2015-04-09,6.1338
2015-04-10,6.1370000000000005
2015-04-11,6.1370000000000005
2015-04-12,6.1370000000000005
2015-04-13,6.139500000000001
2015-04-14,6.140700000000001
2015-04-15,6.1339999999999995
2015-04-16,6.1305
2015-04-17,6.1267
2015-04-18,6.1267
2015-04-19,6.1267
2015-04-20,6.1255
2015-04-21,6.127999999999999
2015-04-22,6.129
2015-04-23,6.1281
2015-04-24,6.124099999999999
2015-04-25,6.124099999999999
2015-04-26,6.124099999999999
2015-04-27,6.122000000000001
2015-04-28,6.120900000000001
2015-04-29,6.1169
2015-04-30,6.1137
2015-05-01,6.1137
2015-05-02,6.1137
2015-05-04,6.116499999999999
2015-05-05,6.117999999999999
2015-05-06,6.1156
2015-05-07,6.1113
2015-05-08,6.1147
2015-05-09,6.1147
2015-05-10,6.1147
2015-05-11,6.113200000000001
2015-05-12,6.1155
2015-05-13,6.1123
2015-05-14,6.109299999999999
2015-05-15,6.1085
2015-05-16,6.1085
2015-05-17,6.1085
2015-05-18,6.1079
2015-05-19,6.1098
2015-05-20,6.1125
2015-05-21,6.1139
2015-05-22,6.113099999999999
2015-05-23,6.113099999999999
2015-05-24,6.113099999999999
2015-05-25,6.116499999999999
2015-05-26,6.1172
2015-05-27,6.119800000000001
2015-05-28,6.1202
2015-05-29,6.1196
2015-05-30,6.1196
2015-05-31,6.1196
2015-06-01,6.1207
2015-06-02,6.1225
2015-06-03,6.1175999999999995
2015-06-04,6.1164
2015-06-05,6.118099999999999
2015-06-08,6.1205
2015-06-09,6.1179
2015-06-10,6.1173
2015-06-11,6.115
2015-06-12,6.1167
2015-06-13,6.1167
2015-06-14,6.1167
2015-06-15,6.1169
2015-06-16,6.1155
2015-06-17,6.1158
2015-06-18,6.1126
2015-06-19,6.110399999999999
2015-06-20,6.110399999999999
2015-06-21,6.110399999999999
2015-06-22,6.110399999999999
2015-06-23,6.1119
2015-06-24,6.114199999999999
2015-06-25,6.1148
2015-06-26,6.1137
2015-06-27,6.1137
2015-06-28,6.1137
2015-06-29,6.1168
2015-06-30,6.1136
2015-07-01,6.1149000000000004
2015-07-02,6.117100000000001
2015-07-03,6.1160000000000005
2015-07-04,6.1160000000000005
2015-07-05,6.1160000000000005
2015-07-06,6.1172
2015-07-07,6.1166
2015-07-08,6.1175
2015-07-09,6.1151
2015-07-10,6.1152999999999995
2015-07-11,6.1152999999999995
2015-07-12,6.1152999999999995
2015-07-13,6.113300000000001
2015-07-14,6.116499999999999
2015-07-15,6.1152
2015-07-16,6.1173
2015-07-17,6.119199999999999
2015-07-18,6.119199999999999
2015-07-19,6.119199999999999
2015-07-20,6.1197
2015-07-21,6.1199
2015-07-22,6.1168
2015-07-23,6.1172
2015-07-24,6.1169
2015-07-25,6.1169
2015-07-26,6.1169
2015-07-27,6.1175999999999995
2015-07-28,6.115399999999999
2015-07-29,6.115
2015-07-30,6.116499999999999
2015-07-31,6.1172
2015-08-01,6.1172
2015-08-02,6.1172
2015-08-03,6.1169
2015-08-04,6.1177
2015-08-05,6.1186
2015-08-06,6.118099999999999
2015-08-07,6.1174
2015-08-08,6.1174
2015-08-09,6.1174
2015-08-10,6.1162
2015-08-11,6.2298
2015-08-12,6.3306
2015-08-13,6.401
2015-08-14,6.3975
2015-08-17,6.3969000000000005
2015-08-18,6.396599999999999
2015-08-19,6.3963
2015-08-20,6.3915
2015-08-21,6.3915
2015-08-22,6.3864
2015-08-23,6.3864
2015-08-24,6.3862
2015-08-25,6.3987
2015-08-26,6.404299999999999
2015-08-27,6.4085
2015-08-28,6.3986
2015-08-31,6.3892999999999995
2015-09-01,6.3751999999999995
2015-09-02,6.3619
2015-09-03,6.3619
2015-09-04,6.3619
2015-09-06,6.3619
2015-09-07,6.3584000000000005
2015-09-08,6.3639
2015-09-09,6.363200000000001
2015-09-10,6.3772
2015-09-11,6.3719
2015-09-14,6.370900000000001
2015-09-15,6.366499999999999
2015-09-16,6.3712
2015-09-17,6.367000000000001
2015-09-18,6.3607000000000005
2015-09-21,6.3675999999999995
2015-09-22,6.3721000000000005
2015-09-23,6.3773
2015-09-24,6.379099999999999
2015-09-25,6.3785
2015-09-28,6.3729
2015-09-29,6.3660000000000005
2015-09-30,6.3613
2015-10-01,6.3613
2015-10-02,6.3613
2015-10-05,6.3613
2015-10-06,6.3613
2015-10-07,6.3613
2015-10-08,6.350499999999999
2015-10-09,6.3492999999999995
2015-10-12,6.340599999999999
2015-10-13,6.323099999999999
2015-10-14,6.340800000000001
2015-10-15,6.340199999999999
2015-10-16,6.3436
2015-10-19,6.3527
2015-10-20,6.3614
2015-10-21,6.347300000000001
2015-10-22,6.3497
2015-10-23,6.359500000000001
2015-10-26,6.3549
2015-10-27,6.3494
2015-10-28,6.3536
2015-10-29,6.3596
2015-10-30,6.349500000000001
2015-11-02,6.3153999999999995
2015-11-03,6.331
2015-11-04,6.3343
2015-11-05,6.3381
2015-11-06,6.3459
2015-11-09,6.3578
2015-11-10,6.3602
2015-11-11,6.3614
2015-11-12,6.3628
2015-11-13,6.3655
2015-11-16,6.375
2015-11-17,6.374
2015-11-18,6.3796
2015-11-19,6.379099999999999
2015-11-20,6.377999999999999
2015-11-23,6.386699999999999
2015-11-24,6.3888
2015-11-25,6.3877
2015-11-26,6.389600000000001
2015-11-27,6.3915
2015-11-30,6.3962
2015-12-01,6.3973
2015-12-02,6.3958
2015-12-03,6.3982
2015-12-04,6.3850999999999996
2015-12-07,6.3985
2015-12-08,6.4078
2015-12-09,6.414
2015-12-10,6.4236
2015-12-11,6.4358
2015-12-14,6.4495000000000005
2015-12-15,6.455900000000001
2015-12-16,6.4626
2015-12-17,6.475700000000001
2015-12-18,6.4814
2015-12-21,6.4753
2015-12-22,6.474600000000001
2015-12-23,6.4731
2015-12-24,6.475499999999999
2015-12-25,6.4713
2015-12-28,6.475
2015-12-29,6.4864
2015-12-30,6.4895000000000005
2015-12-31,6.4936
2016-01-04,6.5032000000000005
2016-01-05,6.516900000000001
2016-01-06,6.5314
2016-01-07,6.5646
2016-01-08,6.5636
2016-01-11,6.5626
2016-01-12,6.562799999999999
2016-01-13,6.563
2016-01-14,6.561599999999999
2016-01-15,6.5637
2016-01-18,6.559
2016-01-19,6.5596000000000005
2016-01-20,6.557799999999999
2016-01-21,6.5585
2016-01-22,6.5572
2016-01-25,6.555700000000001
2016-01-26,6.5548
2016-01-27,6.5533
2016-01-28,6.5527999999999995
2016-01-29,6.5516
2016-02-01,6.5539
2016-02-02,6.551
2016-02-03,6.5521
2016-02-04,6.541900000000001
2016-02-05,6.5314
2016-02-15,6.511799999999999
2016-02-16,6.513
2016-02-17,6.5237
2016-02-18,6.5152
2016-02-19,6.5186
2016-02-22,6.5165
2016-02-23,6.5273
2016-02-24,6.5302
2016-02-25,6.5318
2016-02-26,6.5338
2016-02-29,6.5451999999999995
2016-03-01,6.5385
2016-03-02,6.5489999999999995
2016-03-03,6.5412
2016-03-04,6.5284
2016-03-07,6.5113
2016-03-08,6.504099999999999
2016-03-09,6.510599999999999
2016-03-10,6.5127
2016-03-11,6.4905
2016-03-14,6.4913
2016-03-15,6.507899999999999
2016-03-16,6.5172
2016-03-17,6.4961
2016-03-18,6.4628
2016-03-21,6.4824
2016-03-22,6.4971000000000005
2016-03-23,6.4936
2016-03-24,6.515
2016-03-25,6.5223
2016-03-28,6.5232
2016-03-29,6.506
2016-03-30,6.4841
2016-03-31,6.4612
2016-04-01,6.4585
2016-04-04,6.4585
2016-04-05,6.4663
2016-04-06,6.4754
2016-04-07,6.470700000000001
2016-04-08,6.4733
2016-04-11,6.4649
2016-04-12,6.4616
2016-04-13,6.459099999999999
2016-04-14,6.4891
2016-04-15,6.4908
2016-04-18,6.4787
2016-04-19,6.47
2016-04-20,6.4578999999999995
2016-04-21,6.4803
2016-04-22,6.4898
2016-04-24,6.4898
2016-04-25,6.5120000000000005
2016-04-26,6.488200000000001
2016-04-27,6.4837
2016-04-28,6.4954
2016-04-29,6.4589
2016-05-02,6.4589
2016-05-03,6.4565
2016-05-04,6.494299999999999
2016-05-05,6.5127999999999995
2016-05-06,6.5202
2016-05-09,6.5104999999999995
2016-05-10,6.523300000000001
2016-05-11,6.5209
2016-05-12,6.495900000000001
2016-05-13,6.5246
2016-05-16,6.534299999999999
2016-05-17,6.52
2016-05-18,6.521599999999999
2016-05-19,6.5531
2016-05-20,6.551
2016-05-23,6.5455
2016-05-24,6.546799999999999
2016-05-25,6.569299999999999
2016-05-26,6.5552
2016-05-27,6.5489999999999995
2016-05-30,6.5784
2016-05-31,6.579
2016-06-01,6.5889
2016-06-02,6.5687999999999995
2016-06-03,6.5793
2016-06-06,6.5497000000000005
2016-06-07,6.5618
2016-06-08,6.5592999999999995
2016-06-09,6.5592999999999995
2016-06-10,6.5592999999999995
2016-06-13,6.5805
2016-06-14,6.5790999999999995
2016-06-15,6.6001
2016-06-16,6.5739
2016-06-17,6.5795
2016-06-20,6.5708
2016-06-21,6.5656
2016-06-22,6.593500000000001
2016-06-23,6.5658
2016-06-24,6.5776
2016-06-27,6.6375
2016-06-28,6.6528
2016-06-29,6.6324000000000005
2016-06-30,6.6312
2016-07-01,6.6496
2016-07-04,6.647200000000001
2016-07-05,6.659400000000001
2016-07-06,6.685700000000001
2016-07-07,6.682
2016-07-08,6.6853
2016-07-11,6.6842999999999995
2016-07-12,6.695
2016-07-13,6.6891
2016-07-14,6.6846000000000005
2016-07-15,6.680499999999999
2016-07-18,6.6961
2016-07-19,6.697100000000001
2016-07-20,6.6946
2016-07-21,6.687200000000001
2016-07-22,6.666900000000001
2016-07-25,6.686
2016-07-26,6.6777999999999995
2016-07-27,6.6671000000000005
2016-07-28,6.6597
2016-07-29,6.6511000000000005
2016-08-01,6.6277
2016-08-02,6.6451
2016-08-03,6.6195
2016-08-04,6.644400000000001
2016-08-05,6.640599999999999
2016-08-08,6.6615
2016-08-09,6.659400000000001
2016-08-10,6.653
2016-08-11,6.6255
2016-08-12,6.654299999999999
2016-08-15,6.643
2016-08-16,6.6305
2016-08-17,6.605599999999999
2016-08-18,6.6273
2016-08-19,6.6211
2016-08-22,6.6652
2016-08-23,6.6586
2016-08-24,6.642
2016-08-25,6.6602
2016-08-26,6.6488
2016-08-29,6.685599999999999
2016-08-30,6.6812000000000005
2016-08-31,6.6908
2016-09-01,6.6784
2016-09-02,6.6727
2016-09-05,6.6873000000000005
2016-09-06,6.6676
2016-09-07,6.6555
2016-09-08,6.662000000000001
2016-09-09,6.6684
2016-09-12,6.6908
2016-09-13,6.6726
2016-09-14,6.689500000000001
2016-09-16,6.689500000000001
2016-09-19,6.6786
2016-09-20,6.6595
2016-09-21,6.6738
2016-09-22,6.6513
2016-09-23,6.667000000000001
2016-09-26,6.6744
2016-09-27,6.6646
2016-09-28,6.668099999999999
2016-09-29,6.67
2016-09-30,6.6777999999999995
2016-10-07,6.6777999999999995
2016-10-10,6.7008
2016-10-11,6.7098
2016-10-12,6.7258000000000004
2016-10-13,6.7296000000000005
2016-10-14,6.715700000000001
2016-10-17,6.7379
2016-10-18,6.7303
2016-10-19,6.7326
2016-10-20,6.7311000000000005
2016-10-21,6.755800000000001
2016-10-24,6.769
