date,close
2015-10-23,887.53
2015-10-26,906.48
2015-10-27,900.01
2015-10-28,867.62
2015-10-29,867.15
2015-10-30,888.57
2015-11-02,861.5
2015-11-03,864.59
2015-11-04,950.95
2015-11-05,1024.27
2015-11-06,1117.86
2015-11-09,1104.95
2015-11-10,1126.87
2015-11-11,1152.89
2015-11-12,1127.45
2015-11-13,1138.47
2015-11-16,1124.47
2015-11-17,1135.1
2015-11-18,1088.38
2015-11-19,1115.22
2015-11-20,1094.15
2015-11-23,1079.6
2015-11-24,1104.1
2015-11-25,1109.3
2015-11-26,1095.83
2015-11-27,1002.45
2015-11-30,989.36
2015-12-01,986.67
2015-12-02,1047.31
2015-12-03,1048.06
2015-12-04,1019.85
2015-12-07,1007.5
2015-12-08,990.62
2015-12-09,993.19
2015-12-10,999.5
2015-12-11,1005.02
2015-12-14,1095.36
2015-12-15,1061.3
2015-12-16,1065.12
2015-12-17,1080.63
2015-12-18,1069.92
2015-12-21,1088.57
2015-12-22,1103.66
2015-12-23,1125.46
2015-12-24,1082.04
2015-12-25,1086.47
2015-12-28,1041.05
2015-12-29,1055.5
2015-12-30,1052.76
2015-12-31,1038.16
2016-01-04,940.97
2016-01-05,941.72
2016-01-06,956.84
2016-01-07,866.51
2016-01-08,889.8
2016-01-11,817.41
2016-01-12,831.04
2016-01-13,824.9
2016-01-14,849.72
2016-01-15,822.01
2016-01-18,825.47
2016-01-19,854.49
2016-01-20,845.18
2016-01-21,807.26
2016-01-22,818.61
2016-01-25,821.17
2016-01-26,747.06
2016-01-27,736.55
2016-01-28,719.2
2016-01-29,761.39
2016-02-01,747.69
2016-02-02,769.12
2016-02-03,764.75
2016-02-04,777.06
2016-02-05,751.29
2016-02-15,739.96
2016-02-16,775.83
2016-02-17,783.42
2016-02-18,782.11
2016-02-19,787.47
2016-02-22,815.84
2016-02-23,801.86
2016-02-24,807.79
2016-02-25,735.64
2016-02-26,742.87
2016-02-29,716.98
2016-03-01,747.53
2016-03-02,794.01
2016-03-03,789.45
2016-03-04,794.73
2016-03-07,799.64
2016-03-08,799.66
2016-03-09,789.0
2016-03-10,763.46
2016-03-11,774.67
2016-03-14,794.08
2016-03-15,788.99
2016-03-16,791.85
2016-03-17,814.12
2016-03-18,842.84
2016-03-21,926.75
2016-03-22,899.43
2016-03-23,914.92
2016-03-24,872.8
2016-03-25,882.05
2016-03-28,861.08
2016-03-29,857.37
2016-03-30,885.94
2016-03-31,888.63
2016-04-01,883.09
2016-04-05,899.78
2016-04-06,893.82
2016-04-07,872.43
2016-04-08,856.04
2016-04-11,880.81
2016-04-12,878.2
2016-04-13,901.78
2016-04-14,907.18
2016-04-15,902.54
2016-04-18,880.8
2016-04-19,887.5
2016-04-20,872.0
2016-04-21,859.41
2016-04-22,865.8
2016-04-25,853.12
2016-04-26,861.89
2016-04-27,850.61
2016-04-28,846.71
2016-04-29,841.97
2016-05-03,861.53
2016-05-04,857.08
2016-05-05,857.82
2016-05-06,824.32
2016-05-09,798.24
2016-05-10,795.95
2016-05-11,791.94
2016-05-12,797.24
2016-05-13,790.89
2016-05-16,796.23
2016-05-17,798.31
2016-05-18,800.0
2016-05-19,795.56
2016-05-20,805.34
2016-05-23,807.38
2016-05-24,797.89
2016-05-25,799.08
2016-05-26,802.97
2016-05-27,799.02
2016-05-30,803.02
2016-05-31,863.96
2016-06-01,852.55
2016-06-02,858.44
2016-06-03,859.14
2016-06-06,852.06
2016-06-07,856.36
2016-06-08,850.46
2016-06-13,809.67
2016-06-14,818.2
2016-06-15,830.83
2016-06-16,818.92
2016-06-17,823.92
2016-06-20,825.89
2016-06-21,834.37
2016-06-22,850.08
2016-06-23,846.11
2016-06-24,831.35
2016-06-27,849.4
2016-06-28,863.77
2016-06-29,860.94
2016-06-30,863.88
2016-07-01,859.9
2016-07-04,886.15
2016-07-05,885.06
2016-07-06,882.29
2016-07-07,883.56
2016-07-08,885.7
2016-07-11,882.53
2016-07-12,905.7
2016-07-13,908.79
2016-07-14,909.28
2016-07-15,896.42
2016-07-18,875.75
2016-07-19,883.85
2016-07-20,878.42
2016-07-21,886.01
2016-07-22,877.74
2016-07-25,876.12
2016-07-26,889.1
2016-07-27,867.59
2016-07-28,850.51
2016-07-29,844.85
2016-08-01,837.56
2016-08-02,840.98
2016-08-03,839.4
2016-08-04,842.1
2016-08-05,842.85
2016-08-08,849.57
2016-08-09,856.09
2016-08-10,851.93
2016-08-11,856.19
2016-08-12,877.21
2016-08-15,926.13
2016-08-16,915.63
2016-08-17,910.29
2016-08-18,902.22
2016-08-19,898.42
2016-08-22,883.39
2016-08-23,887.2
2016-08-24,878.88
2016-08-25,883.58
2016-08-26,879.26
2016-08-29,879.77
2016-08-30,884.5
2016-08-31,890.21
2016-09-01,876.23
2016-09-02,882.85
2016-09-05,884.79
2016-09-06,887.69
2016-09-07,885.66
2016-09-08,884.0
2016-09-09,878.34
2016-09-12,858.95
2016-09-13,855.99
2016-09-14,848.05
2016-09-19,851.28
2016-09-20,849.75
2016-09-21,855.7
2016-09-22,856.49
2016-09-23,851.03
2016-09-26,836.34
2016-09-27,844.94
2016-09-28,841.5
2016-09-29,850.11
2016-09-30,851.42
2016-10-10,864.28
2016-10-11,866.56
2016-10-12,863.08
2016-10-13,864.42
2016-10-14,862.91
2016-10-17,850.24
2016-10-18,871.37
2016-10-19,865.34
2016-10-20,864.01
2016-10-21,869.31
2016-10-24,888.48
2016-10-25,884.04
2016-10-26,881.4
2016-10-27,881.97
2016-10-28,887.81
2016-10-31,888.18
2016-11-01,896.26
2016-11-02,892.3
2016-11-03,912.78
2016-11-04,909.92
2016-11-07,912.39
2016-11-08,912.68
2016-11-09,899.49
2016-11-10,916.85
2016-11-11,947.81
2016-11-14,955.33
2016-11-15,948.77
2016-11-16,950.48
2016-11-17,951.13
2016-11-18,933.47
2016-11-21,936.6
2016-11-22,946.74
2016-11-23,938.4
2016-11-24,947.37
2016-11-25,952.6
2016-11-28,946.74
2016-11-29,949.22
2016-11-30,941.83
2016-12-01,950.1
2016-12-02,932.8
2016-12-05,899.49
2016-12-06,896.22
2016-12-07,902.23
