date,true_return,pred_return
2016-06-02,-0.03962264150943395,-0.009122560629057329
2016-06-03,-0.0320754716981132,-0.024062640159833674
2016-06-06,-0.024390243902439046,-0.028549974768304103
2016-06-07,-0.024621212121212155,-0.00360487947647853
2016-06-08,-0.03351955307262566,-0.04720055336898648
2016-06-13,0.007858546168958647,-0.03694961097817274
2016-06-14,-0.005847953216374324,0.01866589901767898
2016-06-15,-0.015384615384615441,-0.004181702683433554
2016-06-16,-0.011650485436893288,-0.006698464929009471
2016-06-17,-0.038535645472061675,0.012815499635181709
2016-06-20,-0.015594541910331383,0.010488029739237393
2016-06-21,-0.0039215686274508554,-0.02523624595719098
2016-06-22,0.00390625,-0.004696979032075981
2016-06-23,-0.0019646365422396617,0.011961842448880853
2016-06-24,0.024048096192384794,-0.036799771631386806
2016-06-27,0.02970297029702973,-0.006885131604893441
2016-06-28,0.04133858267716528,-0.021132662009316214
2016-06-29,0.02529182879377423,-0.0362038425520265
2016-06-30,0.04133858267716528,-0.027819633460975393
2016-07-01,0.02544031311154593,0.018934084956008925
2016-07-04,0.0019230769230769162,-0.029678424215260787
2016-07-05,0.020793950850661602,-0.04825048301154509
2016-07-06,0.026565464895635715,-0.014913164829149703
2016-07-07,0.03402646502835527,-0.043516323211018275
2016-07-08,0.03625954198473269,-0.031812502978599444
2016-07-11,0.028790786948176716,0.015065952182755941
2016-07-12,-0.0018518518518519933,-0.02972917040410336
2016-07-13,-0.007393715341959317,-0.042187037495524375
2016-07-14,-0.021937842778793404,-0.040327029677492125
2016-07-15,-0.03130755064456725,-0.02809950241089509
2016-07-18,-0.020522388059701524,-0.010004590298109284
2016-07-19,-0.01855287569573283,0.00045031671967935954
2016-07-20,-0.05027932960893866,0.0008351198687225916
2016-07-21,-0.013084112149532645,-0.007037946230253767
2016-07-22,-0.019011406844106404,0.0019903721749881913
2016-07-25,-0.026666666666666616,-0.01563891556623453
2016-07-26,-0.02457466918714557,-0.01201945018901828
2016-07-27,0.01764705882352957,-0.05382054882108157
2016-07-28,-0.024621212121212155,-0.056701170622761775
2016-07-29,-0.009689922480620172,-0.028521283648660294
2016-08-01,0.019569471624266033,-0.02162361198158296
2016-08-02,0.011627906976744207,-0.009420502598492713
2016-08-03,0.0,-0.01159279513910256
2016-08-04,0.0019417475728153999,-0.014795258040321642
2016-08-05,0.02152641878669259,-0.01761562543538431
2016-08-08,0.0249520153550864,-0.03583991883274543
2016-08-09,0.021072796934865856,-0.040919427806301624
2016-08-10,0.019267822736030782,-0.017203532491925282
