,0
vol_20d,0.17403162852384224
ret_60d,0.13507535012353228
price_ma60,0.10927274699496071
rsi_21,0.09926470424157055
ret_20d,0.0770020379859297
rsi_14,0.06228150421930128
vol_change_5d,0.0489690910951661
vol_change_20d,0.0409453859154114
ret_5d,0.03908767769420787
volume_ratio,0.03835223392357506
ret_10d,0.03681123334326701
high_low_ratio,0.03306534234837035
vol_change_60d,0.03125312515648686
price_ma20,0.02906001003177447
vol_change_10d,0.026852887752348568
close_open_ratio,0.018675040650255593
turnover,0.0
